article,disgust,anger,sadness,joy,fear
http://www.metrolyrics.com/fairly-odd-parents-cartoon-theme-song-lyrics-various-musique.html,0.00545,0.101606,0.115295,0.683814,0.149025
http://www.metrolyrics.com/thy-will-lyrics-hillary-scott.html,0.037918,0.2787,0.63034,0.074051,0.256512
http://www.metrolyrics.com/how-does-a-moment-last-forever-lyrics-celine-dion.html,0.02375,0.039039,0.514828,0.674594,0.047762
http://www.metrolyrics.com/lunch-truck-freestyle-lyrics-eminem.html,0.264456,0.66192,0.253547,0.082134,0.120009
http://www.metrolyrics.com/apple-bottom-jeans-lyrics-t-pain.html,6.8e-05,0.012772,0.000523,0.047719,0.000322
http://www.metrolyrics.com/deja-vu-lyrics-j-cole.html,0.057133,0.547485,0.490618,0.010317,0.248551
http://www.metrolyrics.com/i-wont-grow-up-lyrics-peterpan.html,0.10918,0.114079,0.181867,0.166961,0.115799
http://www.metrolyrics.com/id-rather-not-lyrics-emeli-sande.html,0.025632,0.21539,0.114825,0.649317,0.069261
http://www.metrolyrics.com/i-call-your-name-lyrics-beatles.html,0.132073,0.308854,0.571645,0.011003,0.266416
http://www.metrolyrics.com/right-through-lyrics-the-happy-fits.html,0.009917,0.067672,0.145979,0.327673,0.609693
http://www.metrolyrics.com/youre-a-strange-animal-lyrics-gowan.html,0.032406,0.105567,0.416345,0.375589,0.154318
http://www.metrolyrics.com/crash-lyrics-usher.html,0.066652,0.132165,0.536898,0.414553,0.12483
http://www.metrolyrics.com/heroin-lyrics-third-eye-blind.html,0.076701,0.252065,0.574126,0.00836,0.451603
http://www.metrolyrics.com/addicted-to-love-lyrics-florence-and-the-machine.html,0.070678,0.02529,0.065133,0.751659,0.132923
http://www.metrolyrics.com/they-dont-know-lyrics-jon-b.html,0.140456,0.528791,0.100047,0.388546,0.023492
http://www.metrolyrics.com/white-out-lyrics-warpaint.html,0.15505,0.350425,0.499932,0.043042,0.310718
http://www.metrolyrics.com/thanksgiving-song-lyrics-adam-sandler.html,0.006007,0.028072,0.004868,0.964483,0.002132
http://www.metrolyrics.com/whatever-shes-got-lyrics-david-nail.html,0.008968,0.396667,0.351352,0.275562,0.203557
http://www.metrolyrics.com/watercolour-ponies-lyrics-wayne-watson.html,0.107468,0.110781,0.177628,0.625945,0.050786
http://www.metrolyrics.com/beauty-in-the-broken-lyrics-rhiannon-redemption.html,0.100131,0.555664,0.611374,0.623107,0.519704
http://www.metrolyrics.com/handclap-lyrics-fitz-the-tantrums.html,0.05906,0.235906,0.52175,0.106279,0.379875
http://www.metrolyrics.com/blue-on-black-lyrics-kenny-wayne-shepherd.html,0.18098,0.316335,0.700199,0.037761,0.069958
http://www.metrolyrics.com/i-will-follow-lyrics-chris-tomlin.html,0.002937,0.058091,0.252809,0.61325,0.126725
http://www.metrolyrics.com/ill-fly-away-lyrics-johnny-cash.html,0.135538,0.080999,0.692022,0.582122,0.208502
http://www.metrolyrics.com/after-all-is-said-and-done-lyrics-junip.html,0.016316,0.040776,0.239691,0.662231,0.072908
http://www.metrolyrics.com/jimmy-buffett-lyrics.html,0.070471,0.027815,0.098564,0.777077,0.01349
http://www.metrolyrics.com/fly-as-an-eagle-lyrics-webbie.html,0.007351,0.718189,0.276001,0.020916,0.128269
http://www.metrolyrics.com/dont-you-worry-child-lyrics-swedish-house-mafia.html,0.010574,0.072843,0.336841,0.586123,0.032249
http://www.metrolyrics.com/where-to-begin-lyrics-my-morning-jacket.html,0.04444,0.218607,0.026908,0.737934,0.029595
http://www.metrolyrics.com/wrapped-around-your-finger-lyrics-the-police.html,0.163916,0.213371,0.207351,0.37415,0.22254
http://www.metrolyrics.com/when-we-were-young-lyrics-lucy-schwartz.html,0.020857,0.178599,0.374146,0.435403,0.144052
http://www.metrolyrics.com/pimp-lyrics-dwarves.html,0.477617,0.612887,0.035583,0.107763,0.026924
http://www.metrolyrics.com/cup-of-tea-lyrics-kacey-musgraves.html,0.215759,0.177626,0.293699,0.418007,0.082238
http://www.metrolyrics.com/the-sun-aint-gonna-shine-anymore-lyrics-walker-brothers.html,0.010833,0.005689,0.655391,0.329161,0.015119
http://www.metrolyrics.com/great-white-buffalo-lyrics-ted-nugent.html,0.106078,0.075014,0.556031,0.601125,0.139762
http://www.metrolyrics.com/would-you-wait-for-me-lyrics-brett-young.html,0.008114,0.022909,0.30318,0.393576,0.381997
http://www.metrolyrics.com/its-not-unusual-lyrics-tom-jones.html,0.038044,0.076909,0.712272,0.189023,0.107275
http://www.metrolyrics.com/photo-lyrics-ed-sheeran.html,0.001066,0.142466,0.612454,0.277653,0.084553
http://www.metrolyrics.com/raging-lyrics-kygo.html,0.026403,0.452889,0.187424,0.42114,0.037647
http://www.metrolyrics.com/autumn-lyrics-the-edgar-winter-group.html,0.095042,0.065391,0.541904,0.593982,0.150004
http://www.metrolyrics.com/dimelo-lyrics-marc-anthony.html,0.036639,0.065666,0.089708,0.677664,0.040156
http://www.metrolyrics.com/mr-magic-through-the-smoke-lyrics-amy-winehouse.html,0.008365,0.044824,0.021433,0.899798,0.039368
http://www.metrolyrics.com/you-cant-hurry-love-lyrics-the-supremes.html,0.050222,0.168854,0.743563,0.600334,0.09114
http://www.metrolyrics.com/tom-petty-the-heartbreakers-lyrics.html,0.015095,0.007753,0.042093,0.923358,0.007642
http://www.metrolyrics.com/promises-lyrics-eric-clapton.html,0.061882,0.25462,0.747712,0.07953,0.043544
http://www.metrolyrics.com/hows-the-world-treating-you-lyrics-alison-krauss.html,0.084391,0.159641,0.535934,0.301268,0.113057
http://www.metrolyrics.com/im-a-survivor-lyrics-reba-mcentire.html,0.0039,0.017212,0.413133,0.551975,0.052004
http://www.metrolyrics.com/if-you-only-knew-lyrics-country-love-songs.html,0.050356,0.24034,0.364618,0.410026,0.098688
http://www.metrolyrics.com/strangers-lyrics-halsey.html,0.009465,0.202857,0.554292,0.02411,0.48797
http://www.metrolyrics.com/breakdown-lyrics-tom-petty.html,0.059813,0.129104,0.31558,0.54818,0.03517
http://www.metrolyrics.com/god-will-make-a-way-lyrics-shirley-caesar.html,0.06195,0.063237,0.133922,0.601518,0.106921
http://www.metrolyrics.com/news-story-zedd-selena-gomez-i-want-you-to-know-lyrics-reveal.html,0.074081,0.470412,0.189929,0.048737,0.550643
http://www.metrolyrics.com/my-homes-in-alabama-lyrics-alabama.html,0.023611,0.023728,0.163575,0.790307,0.018349
http://www.metrolyrics.com/where-eagles-dare-lyrics-iron-maiden.html,0.116547,0.191755,0.614455,0.209211,0.159203
http://www.metrolyrics.com/cowboy-take-me-away-lyrics-dixie-chicks.html,0.035631,0.084601,0.486421,0.265483,0.305551
http://www.metrolyrics.com/betcha-cant-do-it-like-me-lyrics-d4l.html,2.9e-05,0.013499,0.253363,0.01213,0.141742
http://www.metrolyrics.com/stan-clean-version-lyrics-eminem.html,0.203633,0.584549,0.565035,0.100394,0.2362
http://www.metrolyrics.com/do-you-want-to-lyrics-xscape.html,0.040035,0.21774,0.111188,0.647847,0.034287
http://www.metrolyrics.com/golden-slumbers-carry-that-weight-lyrics-jennifer-hudson.html,0.004352,0.050763,0.071986,0.811522,0.089577
http://www.metrolyrics.com/the-river-lyrics-garth-brooks.html,0.132579,0.176505,0.154056,0.555059,0.084088
http://www.metrolyrics.com/ruby-lyrics-charly-bliss.html,0.035892,0.054949,0.142588,0.156712,0.207759
http://www.metrolyrics.com/uneasy-rider-lyrics-charlie-daniels.html,0.133891,0.51648,0.418294,0.007321,0.31881
http://www.metrolyrics.com/not-the-one-lyrics-offspring.html,0.100743,0.269986,0.577222,0.017105,0.389546
http://www.metrolyrics.com/song-ml-video-xxb.html,0.197171,0.067852,0.08888,0.49729,0.019621
http://www.metrolyrics.com/our-god-reigns-lyrics-jesus-culture-with-martin-smith.html,0.077654,0.090723,0.144548,0.185315,0.087573
http://www.metrolyrics.com/all-there-lyrics-jeezy.html,0.396715,0.503959,0.377124,0.008147,0.108926
http://www.metrolyrics.com/what-went-down-lyrics-foals.html,0.226585,0.461594,0.439828,0.00153,0.196609
http://www.metrolyrics.com/man-to-man-lyrics-gary-allan.html,0.306245,0.507957,0.209913,0.200359,0.045331
http://www.metrolyrics.com/wrong-lyrics-depeche-mode.html,0.229613,0.46588,0.325983,0.03673,0.339077
http://www.metrolyrics.com/the-happiest-girl-in-the-whole-usa-lyrics-donna-fargo.html,0.004327,0.018254,0.029245,0.949053,0.004281
http://www.metrolyrics.com/almost-there-tiana-lyrics-disney.html,0.012486,0.137193,0.296465,0.568338,0.04926
http://www.metrolyrics.com/please-be-with-me-lyrics-eric-clapton.html,0.077874,0.113488,0.59998,0.132172,0.282155
http://www.metrolyrics.com/blown-away-lyrics-carrie-underwood.html,0.029742,0.360667,0.64142,0.062798,0.11805
http://www.metrolyrics.com/gong-li-lyrics-red-hot-chili-peppers.html,0.207034,0.487422,0.384101,0.033734,0.265042
http://www.metrolyrics.com/pretty-girls-lyrics-dierks-bentley.html,0.144677,0.124044,0.058874,0.712365,0.017553
http://www.metrolyrics.com/black-cat-bone-lyrics-albert-collins.html,0.241403,0.120701,0.605815,0.047246,0.319344
http://www.metrolyrics.com/lying-season-lyrics-alice-in-chains.html,0.095113,0.360997,0.203158,0.428199,0.02426
http://www.metrolyrics.com/universally-speaking-lyrics-red-hot-chili-peppers.html,0.033984,0.035728,0.321365,0.595296,0.066224
http://www.metrolyrics.com/the-weeknd-alpage-2.html,0.018989,0.011104,0.218101,0.652729,0.015523
http://www.metrolyrics.com/all-there-is-lyrics-dan-fogelberg.html,0.108629,0.122912,0.235598,0.586667,0.026536
http://www.metrolyrics.com/fountain-of-sorrow-lyrics-jackson-browne.html,0.000851,0.007327,0.387386,0.590311,0.025793
http://www.metrolyrics.com/tonight-i-wanna-cry-lyrics-keith-urban.html,0.036096,0.114422,0.808259,0.02588,0.265386
http://www.metrolyrics.com/feelin-on-yo-booty-lyrics-r-kelly.html,0.000152,0.006028,0.006903,0.367669,0.016768
http://www.metrolyrics.com/dont-touch-my-hair-lyrics-solange.html,0.150695,0.695517,0.236609,0.107158,0.072602
http://www.metrolyrics.com/ignition-lyrics-r-kelly.html,0.121268,0.350105,0.00534,0.590491,0.014139
http://www.metrolyrics.com/neptune-lyrics-sleeping-at-last.html,0.049011,0.232726,0.636966,0.009071,0.408318
http://www.metrolyrics.com/teddy-bears-picnic-lyrics-anne-murray.html,0.058818,0.177363,0.028221,0.7635,0.019789
http://www.metrolyrics.com/thunderstorms-and-neon-signs-lyrics-wayne-hancock.html,0.013375,0.227187,0.327394,0.350886,0.252704
http://www.metrolyrics.com/un-beso-lyrics-aventura.html,0.057348,0.077565,0.066609,0.670775,0.033296
http://www.metrolyrics.com/home-lyrics-blake-shelton.html,0.054848,0.231839,0.66553,0.041575,0.309004
http://www.metrolyrics.com/news-story-interview-usher-explains-the-true-meaning-behind-climax.html,0.072418,0.060907,0.554986,0.686508,0.065173
http://www.metrolyrics.com/broken-bones-pocket-change-lyrics-st-paul-and-the-broken-bones.html,0.060177,0.095416,0.887867,0.015392,0.169075
http://www.metrolyrics.com/pitch-perfect-alpage-3.html,0.017937,0.04016,0.005336,0.913153,0.003765
http://www.metrolyrics.com/ten-years-gone-lyrics-led-zeppelin.html,0.013223,0.048129,0.283032,0.645721,0.03678
http://www.metrolyrics.com/tonic-lyrics.html,0.018989,0.011104,0.218101,0.652729,0.015523
http://www.metrolyrics.com/do-you-hear-what-i-hear-lyrics-christmas-carols.html,0.114041,0.093118,0.138818,0.687312,0.10503
http://www.metrolyrics.com/options-lyrics-party-next-door.html,0.206505,0.879514,0.098745,0.023518,0.028672
http://www.metrolyrics.com/changing-horses-lyrics-dan-fogelberg.html,0.092759,0.214021,0.653048,0.062221,0.247235
http://www.metrolyrics.com/once-in-a-blue-moon-lyrics-earl-thomas-conley.html,0.004777,0.048136,0.172174,0.769917,0.023691
http://www.metrolyrics.com/send-in-the-clowns-lyrics-barbra-streisand.html,0.069534,0.437593,0.448773,0.103778,0.656802
http://www.metrolyrics.com/million-miles-away-lyrics-keegan-allen.html,0.014963,0.009589,0.267088,0.422879,0.40135
http://www.metrolyrics.com/phantom-limb-lyrics-the-shins.html,0.051714,0.144172,0.110416,0.697753,0.051754
http://www.metrolyrics.com/happy-ever-after-love-lyrics-dr-hook.html,0.00323,0.011013,0.021787,0.949301,0.010474
http://www.metrolyrics.com/sleep-on-the-floor-lyrics-the-lumineers.html,0.023626,0.435701,0.431532,0.199224,0.150008
http://www.metrolyrics.com/eight-days-a-week-lyrics-beatles.html,0.017813,0.044278,0.257529,0.668567,0.035966
http://www.metrolyrics.com/save-the-last-dance-lyrics-the-drifters.html,0.006296,0.01616,0.022456,0.856719,0.122354
http://www.metrolyrics.com/chapel-of-love-lyrics-the-dixie-cups.html,0.009652,0.092911,0.17932,0.702777,0.050336
http://www.metrolyrics.com/haben-sie-gehort-das-deutsche-band-lyrics-a.html,0.054843,0.470599,0.09033,0.594395,0.060511
http://www.metrolyrics.com/thats-what-i-believe-lyrics-donnie-mcclurkin-pastor-marvin-winans.html,0.018163,0.08265,0.242578,0.590678,0.06166
http://www.metrolyrics.com/we-all-die-young-lyrics-steel-dragon.html,0.080652,0.071085,0.741381,0.013004,0.387758
http://www.metrolyrics.com/somebody-remembers-the-rose-lyrics-whiskeytown.html,0.123808,0.053772,0.318022,0.447267,0.218337
http://www.metrolyrics.com/change-lyrics-banks.html,0.071249,0.571183,0.534687,0.020979,0.12771
http://www.metrolyrics.com/too-many-rappers-lyrics-beastie-boys.html,0.005923,0.386006,0.037074,0.034343,0.014894
http://www.metrolyrics.com/illusion-coma-pimp-circumstance-lyrics-prince.html,0.161853,0.218071,0.134252,0.64926,0.113384
